"","condition","sex","lower_age","upper_age","gbd_location_name","percentage_of_population","country"
"55","Chronic respiratory diseases","Both",70,75,"70 to 74",0.2165,"Afghanistan"
"56","Chronic respiratory diseases","Both",75,80,"75 to 79",0.2365,"Afghanistan"
"57","Chronic respiratory diseases","Both",80,85,"80 to 84",0.2457,"Afghanistan"
"58","Chronic respiratory diseases","Both",85,90,"85 to 89",0.2485,"Afghanistan"
"59","Chronic respiratory diseases","Both",90,95,"90 to 94",0.2508,"Afghanistan"
"60","Chronic respiratory diseases","Both",95,120,"95 plus",0.2456,"Afghanistan"
"61","Cirhossis and other chronic liver disease","Both",0,5,"Under 5",0.0039,"Afghanistan"
"62","Cirhossis and other chronic liver disease","Both",5,10,"5 to 9",0.0068,"Afghanistan"
"63","Cirhossis and other chronic liver disease","Both",10,15,"10 to 14",0.0079,"Afghanistan"
"64","Cirhossis and other chronic liver disease","Both",15,20,"15 to 19",0.0096,"Afghanistan"
"65","Cirhossis and other chronic liver disease","Both",20,25,"20 to 24",0.0123,"Afghanistan"
"66","Cirhossis and other chronic liver disease","Both",25,30,"25 to 29",0.0163,"Afghanistan"
"67","Cirhossis and other chronic liver disease","Both",30,35,"30 to 34",0.0219,"Afghanistan"
"68","Cirhossis and other chronic liver disease","Both",35,40,"35 to 39",0.0293,"Afghanistan"
"69","Cirhossis and other chronic liver disease","Both",40,45,"40 to 44",0.0361,"Afghanistan"
"70","Cirhossis and other chronic liver disease","Both",45,50,"45 to 49",0.04,"Afghanistan"
"71","Cirhossis and other chronic liver disease","Both",50,55,"50 to 54",0.0409,"Afghanistan"
"72","Cirhossis and other chronic liver disease","Both",55,60,"55 to 59",0.0401,"Afghanistan"
"73","Cirhossis and other chronic liver disease","Both",60,65,"60 to 64",0.0389,"Afghanistan"
"74","Cirhossis and other chronic liver disease","Both",65,70,"65 to 69",0.0373,"Afghanistan"
"75","Cirhossis and other chronic liver disease","Both",70,75,"70 to 74",0.0345,"Afghanistan"
"76","Cirhossis and other chronic liver disease","Both",75,80,"75 to 79",0.0288,"Afghanistan"
"77","Cirhossis and other chronic liver disease","Both",80,85,"80 to 84",0.0212,"Afghanistan"
"78","Cirhossis and other chronic liver disease","Both",85,90,"85 to 89",0.0154,"Afghanistan"
"79","Cirhossis and other chronic liver disease","Both",90,95,"90 to 94",0.0153,"Afghanistan"
"80","Cirhossis and other chronic liver disease","Both",95,120,"95 plus",0.0157,"Afghanistan"
"81","Diabetes mellitus","Both",0,5,"Under 5",1e-04,"Afghanistan"
"82","Diabetes mellitus","Both",5,10,"5 to 9",0.0011,"Afghanistan"
"83","Diabetes mellitus","Both",10,15,"10 to 14",0.0045,"Afghanistan"
"84","Diabetes mellitus","Both",15,20,"15 to 19",0.0139,"Afghanistan"
"85","Diabetes mellitus","Both",20,25,"20 to 24",0.0298,"Afghanistan"
"86","Diabetes mellitus","Both",25,30,"25 to 29",0.0475,"Afghanistan"
"87","Diabetes mellitus","Both",30,35,"30 to 34",0.0672,"Afghanistan"
"88","Diabetes mellitus","Both",35,40,"35 to 39",0.0983,"Afghanistan"
"89","Diabetes mellitus","Both",40,45,"40 to 44",0.1393,"Afghanistan"
"90","Diabetes mellitus","Both",45,50,"45 to 49",0.1851,"Afghanistan"
"91","Diabetes mellitus","Both",50,55,"50 to 54",0.2322,"Afghanistan"
"92","Diabetes mellitus","Both",55,60,"55 to 59",0.2748,"Afghanistan"
"93","Diabetes mellitus","Both",60,65,"60 to 64",0.312,"Afghanistan"
"94","Diabetes mellitus","Both",65,70,"65 to 69",0.3397,"Afghanistan"
"95","Diabetes mellitus","Both",70,75,"70 to 74",0.3596,"Afghanistan"
"96","Diabetes mellitus","Both",75,80,"75 to 79",0.368,"Afghanistan"
"97","Diabetes mellitus","Both",80,85,"80 to 84",0.3704,"Afghanistan"
"98","Diabetes mellitus","Both",85,90,"85 to 89",0.3597,"Afghanistan"
"99","Diabetes mellitus","Both",90,95,"90 to 94",0.3362,"Afghanistan"
"100","Diabetes mellitus","Both",95,120,"95 plus",0.3055,"Afghanistan"
"101","Cancers with direct immunosuppression","Both",0,5,"Under 5",6e-04,"Afghanistan"
"102","Cancers with direct immunosuppression","Both",5,10,"5 to 9",2e-04,"Afghanistan"
"103","Cancers with direct immunosuppression","Both",10,15,"10 to 14",2e-04,"Afghanistan"
"104","Cancers with direct immunosuppression","Both",15,20,"15 to 19",3e-04,"Afghanistan"
"105","Cancers with direct immunosuppression","Both",20,25,"20 to 24",3e-04,"Afghanistan"
"106","Cancers with direct immunosuppression","Both",25,30,"25 to 29",4e-04,"Afghanistan"
"107","Cancers with direct immunosuppression","Both",30,35,"30 to 34",4e-04,"Afghanistan"
"108","Cancers with direct immunosuppression","Both",35,40,"35 to 39",5e-04,"Afghanistan"
"109","Cancers with direct immunosuppression","Both",40,45,"40 to 44",5e-04,"Afghanistan"
"110","Cancers with direct immunosuppression","Both",45,50,"45 to 49",7e-04,"Afghanistan"
"111","Cancers with direct immunosuppression","Both",50,55,"50 to 54",0.001,"Afghanistan"
"112","Cancers with direct immunosuppression","Both",55,60,"55 to 59",0.0015,"Afghanistan"
"113","Cancers with direct immunosuppression","Both",60,65,"60 to 64",0.002,"Afghanistan"
"114","Cancers with direct immunosuppression","Both",65,70,"65 to 69",0.0021,"Afghanistan"
"115","Cancers with direct immunosuppression","Both",70,75,"70 to 74",0.0025,"Afghanistan"
"116","Cancers with direct immunosuppression","Both",75,80,"75 to 79",0.0026,"Afghanistan"
"117","Cancers with direct immunosuppression","Both",80,85,"80 to 84",0.0024,"Afghanistan"
"118","Cancers with direct immunosuppression","Both",85,90,"85 to 89",0.0023,"Afghanistan"
"119","Cancers with direct immunosuppression","Both",90,95,"90 to 94",0.0019,"Afghanistan"
"120","Cancers with direct immunosuppression","Both",95,120,"95 plus",9e-04,"Afghanistan"
"121","Cancers with possible immunosuppression","Both",0,5,"Under 5",3e-04,"Afghanistan"
"122","Cancers with possible immunosuppression","Both",5,10,"5 to 9",2e-04,"Afghanistan"
"123","Cancers with possible immunosuppression","Both",10,15,"10 to 14",1e-04,"Afghanistan"
"124","Cancers with possible immunosuppression","Both",15,20,"15 to 19",2e-04,"Afghanistan"
"125","Cancers with possible immunosuppression","Both",20,25,"20 to 24",4e-04,"Afghanistan"
"126","Cancers with possible immunosuppression","Both",25,30,"25 to 29",0.0012,"Afghanistan"
"127","Cancers with possible immunosuppression","Both",30,35,"30 to 34",0.0025,"Afghanistan"
"128","Cancers with possible immunosuppression","Both",35,40,"35 to 39",0.0036,"Afghanistan"
"129","Cancers with possible immunosuppression","Both",40,45,"40 to 44",0.0052,"Afghanistan"
"130","Cancers with possible immunosuppression","Both",45,50,"45 to 49",0.0066,"Afghanistan"
"131","Cancers with possible immunosuppression","Both",50,55,"50 to 54",0.0085,"Afghanistan"
"132","Cancers with possible immunosuppression","Both",55,60,"55 to 59",0.0112,"Afghanistan"
"133","Cancers with possible immunosuppression","Both",60,65,"60 to 64",0.0136,"Afghanistan"
"134","Cancers with possible immunosuppression","Both",65,70,"65 to 69",0.0142,"Afghanistan"
"135","Cancers with possible immunosuppression","Both",70,75,"70 to 74",0.0153,"Afghanistan"
"136","Cancers with possible immunosuppression","Both",75,80,"75 to 79",0.0155,"Afghanistan"
"137","Cancers with possible immunosuppression","Both",80,85,"80 to 84",0.0148,"Afghanistan"
"138","Cancers with possible immunosuppression","Both",85,90,"85 to 89",0.0142,"Afghanistan"
"139","Cancers with possible immunosuppression","Both",90,95,"90 to 94",0.0127,"Afghanistan"
"140","Cancers with possible immunosuppression","Both",95,120,"95 plus",0.0072,"Afghanistan"
"141","HIV/AIDS","Both",0,5,"Under 5",0,"Afghanistan"
"142","HIV/AIDS","Both",5,10,"5 to 9",0,"Afghanistan"
"143","HIV/AIDS","Both",10,15,"10 to 14",8.2653e-06,"Afghanistan"
"144","HIV/AIDS","Both",15,20,"15 to 19",2e-04,"Afghanistan"
"145","HIV/AIDS","Both",20,25,"20 to 24",3e-04,"Afghanistan"
"146","HIV/AIDS","Both",25,30,"25 to 29",3e-04,"Afghanistan"
"147","HIV/AIDS","Both",30,35,"30 to 34",3e-04,"Afghanistan"
"148","HIV/AIDS","Both",35,40,"35 to 39",3e-04,"Afghanistan"
"149","HIV/AIDS","Both",40,45,"40 to 44",3e-04,"Afghanistan"
"150","HIV/AIDS","Both",45,50,"45 to 49",3e-04,"Afghanistan"
"151","HIV/AIDS","Both",50,55,"50 to 54",2e-04,"Afghanistan"
"152","HIV/AIDS","Both",55,60,"55 to 59",2e-04,"Afghanistan"
"153","HIV/AIDS","Both",60,65,"60 to 64",3e-04,"Afghanistan"
"154","HIV/AIDS","Both",65,70,"65 to 69",4e-04,"Afghanistan"
"155","HIV/AIDS","Both",70,75,"70 to 74",1e-04,"Afghanistan"
"156","HIV/AIDS","Both",75,80,"75 to 79",1e-04,"Afghanistan"
"157","HIV/AIDS","Both",80,85,"80 to 84",0,"Afghanistan"
"158","HIV/AIDS","Both",85,90,"85 to 89",0,"Afghanistan"
"159","HIV/AIDS","Both",90,95,"90 to 94",0,"Afghanistan"
"160","HIV/AIDS","Both",95,120,"95 plus",0,"Afghanistan"
"161","Non-latent TB","Both",0,5,"Under 5",4e-04,"Afghanistan"
"162","Non-latent TB","Both",5,10,"5 to 9",3e-04,"Afghanistan"
"163","Non-latent TB","Both",10,15,"10 to 14",2e-04,"Afghanistan"
"164","Non-latent TB","Both",15,20,"15 to 19",4e-04,"Afghanistan"
"165","Non-latent TB","Both",20,25,"20 to 24",6e-04,"Afghanistan"
"166","Non-latent TB","Both",25,30,"25 to 29",6e-04,"Afghanistan"
"167","Non-latent TB","Both",30,35,"30 to 34",6e-04,"Afghanistan"
"168","Non-latent TB","Both",35,40,"35 to 39",5e-04,"Afghanistan"
"169","Non-latent TB","Both",40,45,"40 to 44",5e-04,"Afghanistan"
"170","Non-latent TB","Both",45,50,"45 to 49",6e-04,"Afghanistan"
"171","Non-latent TB","Both",50,55,"50 to 54",6e-04,"Afghanistan"
"172","Non-latent TB","Both",55,60,"55 to 59",7e-04,"Afghanistan"
"173","Non-latent TB","Both",60,65,"60 to 64",9e-04,"Afghanistan"
"174","Non-latent TB","Both",65,70,"65 to 69",0.0011,"Afghanistan"
"175","Non-latent TB","Both",70,75,"70 to 74",0.0012,"Afghanistan"
"176","Non-latent TB","Both",75,80,"75 to 79",9e-04,"Afghanistan"
"177","Non-latent TB","Both",80,85,"80 to 84",8e-04,"Afghanistan"
"178","Non-latent TB","Both",85,90,"85 to 89",8e-04,"Afghanistan"
"179","Non-latent TB","Both",90,95,"90 to 94",8e-04,"Afghanistan"
"180","Non-latent TB","Both",95,120,"95 plus",7e-04,"Afghanistan"
"181","Chronic neurological disorders","Both",0,5,"Under 5",0.0536,"Afghanistan"
"182","Chronic neurological disorders","Both",5,10,"5 to 9",0.0535,"Afghanistan"
"183","Chronic neurological disorders","Both",10,15,"10 to 14",0.051,"Afghanistan"
"184","Chronic neurological disorders","Both",15,20,"15 to 19",0.0491,"Afghanistan"
"185","Chronic neurological disorders","Both",20,25,"20 to 24",0.0471,"Afghanistan"
"186","Chronic neurological disorders","Both",25,30,"25 to 29",0.0445,"Afghanistan"
"187","Chronic neurological disorders","Both",30,35,"30 to 34",0.0417,"Afghanistan"
"188","Chronic neurological disorders","Both",35,40,"35 to 39",0.0387,"Afghanistan"
"189","Chronic neurological disorders","Both",40,45,"40 to 44",0.0362,"Afghanistan"
"190","Chronic neurological disorders","Both",45,50,"45 to 49",0.0343,"Afghanistan"
"191","Chronic neurological disorders","Both",50,55,"50 to 54",0.0329,"Afghanistan"
"192","Chronic neurological disorders","Both",55,60,"55 to 59",0.0327,"Afghanistan"
"193","Chronic neurological disorders","Both",60,65,"60 to 64",0.035,"Afghanistan"
"194","Chronic neurological disorders","Both",65,70,"65 to 69",0.0437,"Afghanistan"
"195","Chronic neurological disorders","Both",70,75,"70 to 74",0.0634,"Afghanistan"
"196","Chronic neurological disorders","Both",75,80,"75 to 79",0.1014,"Afghanistan"
"197","Chronic neurological disorders","Both",80,85,"80 to 84",0.1634,"Afghanistan"
"198","Chronic neurological disorders","Both",85,90,"85 to 89",0.2394,"Afghanistan"
"199","Chronic neurological disorders","Both",90,95,"90 to 94",0.3255,"Afghanistan"
"200","Chronic neurological disorders","Both",95,120,"95 plus",0.394,"Afghanistan"
"201","Sickle cell disorders","Both",0,5,"Under 5",6e-04,"Afghanistan"
"202","Sickle cell disorders","Both",5,10,"5 to 9",5e-04,"Afghanistan"
"203","Sickle cell disorders","Both",10,15,"10 to 14",4e-04,"Afghanistan"
"204","Sickle cell disorders","Both",15,20,"15 to 19",4e-04,"Afghanistan"
"205","Sickle cell disorders","Both",20,25,"20 to 24",3e-04,"Afghanistan"
"206","Sickle cell disorders","Both",25,30,"25 to 29",2e-04,"Afghanistan"
"207","Sickle cell disorders","Both",30,35,"30 to 34",2e-04,"Afghanistan"
"208","Sickle cell disorders","Both",35,40,"35 to 39",1e-04,"Afghanistan"
"209","Sickle cell disorders","Both",40,45,"40 to 44",1e-04,"Afghanistan"
"210","Sickle cell disorders","Both",45,50,"45 to 49",0,"Afghanistan"
"211","Sickle cell disorders","Both",50,55,"50 to 54",0,"Afghanistan"
"212","Sickle cell disorders","Both",55,60,"55 to 59",3.3561e-06,"Afghanistan"
"213","Sickle cell disorders","Both",60,65,"60 to 64",7.1287e-07,"Afghanistan"
"214","Sickle cell disorders","Both",65,70,"65 to 69",1.4347e-07,"Afghanistan"
"215","Sickle cell disorders","Both",70,75,"70 to 74",2.4339e-08,"Afghanistan"
"216","Sickle cell disorders","Both",75,80,"75 to 79",4.3553e-09,"Afghanistan"
"217","Sickle cell disorders","Both",80,85,"80 to 84",7.9474e-10,"Afghanistan"
"218","Sickle cell disorders","Both",85,90,"85 to 89",1.4852e-10,"Afghanistan"
"219","Sickle cell disorders","Both",90,95,"90 to 94",2.7638e-11,"Afghanistan"
"220","Sickle cell disorders","Both",95,120,"95 plus",5.2132e-12,"Afghanistan"
